n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min,,,,,
2,5,2,20,3,20,14,19.6,,,,,
3,5,1,20,3,20,13,19.9,,,,,
2,5,2,20,4,20,14,19.6,,,,,
2,5,2,20,5,20,16,19.6,,,,,
3,5,1,20,5,20,15,19.9,,,,,
5,2,2,20,5,20,16,20.1,,,,,
2,5,1,20,6,20,16,19.6,,,,,
2,5,4,20,7,20,18,19.6,,,,,
2,5,1,20,8,20,18,19.6,,,,,
2,5,3,20,9,20,20,19.6,,,,,
3,5,1,20,9,20,19,19.9,,,,,
2,5,1,20,10,20,20,19.6,,,,,
2,5,1,20,11,20,22,19.6,,,,,
2,5,4,20,12,20,22,19.6,,,,,
2,5,3,20,12,20,22,19.6,,,,,
3,5,1,20,12,20,22,19.9,,,,,
2,5,2,20,13,20,24,19.6,,,,,
3,5,1,20,13,20,23,19.9,,,,,
5,2,1,20,13,20,24,20.1,,,,,
2,5,2,20,14,20,24,19.6,,,,,
7,5,1,20,14,20,26,19.3,,,,,
2,5,1,20,15,20,26,19.6,,,,,
2,5,2,20,16,20,26,19.6,,,,,
2,5,1,20,17,20,28,19.6,,,,,
2,5,2,20,18,20,28,19.6,,,,,
3,5,2,20,18,20,28,19.9,,,,,
5,2,1,20,18,20,28,20.1,,,,,
2,5,1,20,19,20,30,19.6,,,,,
2,5,4,20,20,20,30,19.6,,,,,
2,5,1,20,20,20,30,19.6,,,,,
2,5,1,20,21,20,32,19.6,,,,,
2,5,1,20,22,20,32,19.6,,,,,
2,5,3,20,23,20,34,19.6,,,,,
3,5,1,20,23,20,33,19.9,,,,,
5,2,2,20,23,20,34,20.1,,,,,
2,5,4,20,25,20,36,19.6,,,,,
2,5,1,20,25,20,36,19.6,,,,,
3,5,1,20,25,20,35,19.9,,,,,
2,5,3,20,26,20,36,19.6,,,,,
2,5,4,20,27,20,38,19.6,,,,,
2,5,2,20,28,20,38,19.6,,,,,
2,5,3,20,29,20,40,19.6,,,,,
2,5,4,20,30,20,40,19.6,,,,,
2,5,4,20,31,20,42,19.6,,,,,
2,5,2,20,31,20,42,19.6,,,,,
2,5,1,20,32,20,42,19.6,,,,,
3,5,1,20,32,20,42,19.9,,,,,
2,5,3,20,33,20,44,19.6,,,,,
2,5,3,20,34,20,44,19.6,,,,,
2,5,1,20,37,20,48,19.6,,,,,
2,5,2,20,38,20,48,19.6,,,,,
2,5,1,20,39,20,50,19.6,,,,,
2,5,2,20,40,20,50,19.6,,,,,
2,5,4,20,41,20,52,19.6,,,,,
2,5,1,20,42,20,52,19.6,,,,,
3,5,1,20,42,20,52,19.9,,,,,
2,5,2,20,43,20,54,19.6,,,,,
2,5,1,20,44,20,54,19.6,,,,,
2,5,1,20,45,20,56,19.6,,,,,
2,5,2,20,46,20,56,19.6,,,,,
2,5,1,20,47,20,58,19.6,,,,,
2,5,1,20,48,20,58,19.6,,,,,
2,5,3,20,49,20,60,19.6,,,,,
2,5,1,20,50,21,0,19.6,,,,,
2,5,2,20,51,21,2,19.6,,,,,
5,2,1,20,51,21,2,20.1,,,,,
2,5,3,20,52,21,2,19.6,,,,,
9,5,1,20,53,21,12,18.4,,,,,
2,5,1,20,54,21,4,19.6,,,,,
3,5,2,20,54,21,4,19.9,,,,,
2,5,1,20,55,21,6,19.6,,,,,
2,5,2,20,56,21,6,19.6,,,,,
5,2,1,20,56,21,6,20.1,,,,,
2,5,1,20,57,21,8,19.6,,,,,
5,2,1,20,57,21,8,20.1,,,,,
2,5,4,20,58,21,8,19.6,,,,,
2,5,1,20,58,21,8,19.6,,,,,
2,5,1,20,59,21,10,19.6,,,,,
3,5,1,20,59,21,9,19.9,,,,,
3,5,1,21,4,21,14,20.7,,,,,
3,5,1,21,6,21,16,20.7,,,,,
5,2,1,21,6,21,16,20.3,,,,,
2,9,1,21,9,21,25,19.3,,,,,
3,9,1,21,13,21,30,18.6,,,,,
3,5,1,21,15,21,25,20.7,,,,,
3,9,1,21,15,21,32,18.6,,,,,
3,9,1,21,18,21,35,18.6,,,,,
5,2,1,21,18,21,28,20.3,,,,,
3,9,1,21,21,21,38,18.6,,,,,
3,9,2,21,22,21,39,18.6,,,,,
3,9,1,21,26,21,43,18.6,,,,,
3,5,1,21,30,21,40,20.7,,,,,
3,9,1,21,46,22,3,18.6,,,,,
2,9,1,21,47,22,3,19.3,,,,,
3,5,1,21,52,22,2,20.7,,,,,
7,5,1,21,59,22,11,19.7,,,,,
2,5,1,22,2,22,12,19.9,,,,,
2,5,1,22,9,22,20,19.9,,,,,
2,5,1,22,10,22,20,19.9,,,,,
5,2,1,22,12,22,22,19.9,,,,,
2,5,1,22,13,22,24,19.9,,,,,
2,5,1,22,14,22,24,19.9,,,,,
2,5,1,22,15,22,26,19.9,,,,,
5,9,1,22,16,22,35,19.3,,,,,
2,5,1,22,25,22,36,19.9,,,,,
2,5,2,22,26,22,36,19.9,,,,,
2,5,1,22,28,22,38,19.9,,,,,
2,5,1,22,32,22,42,19.9,,,,,
2,5,1,22,39,22,50,19.9,,,,,
3,5,1,22,45,22,55,20.5,,,,,
2,5,2,22,51,23,2,19.9,,,,,
2,5,1,22,52,23,2,19.9,,,,,
2,5,1,22,57,23,8,19.9,,,,,
2,5,1,22,58,23,8,19.9,,,,,
3,5,1,23,38,23,48,19.6,,,,,
